link,nces_id,link_proc
https://www.facebook.com/foothills-academy-k-8-534213679985234/?ref=aymt_homepage_panel&eid=arb4dzkvtfqdt9b-b9qtna-zz47hhtjhapqlbgpcxonggzohmlis-z2pxvh4bcygepof6tdwrn94aost,0400036,foothills-academy-k-8-534213679985234
https://www.facebook.com/fountain-hills-unified-school-district-116140448411456/,0403040,fountain-hills-unified-school-district-116140448411456
https://www.facebook.com/freedomacademyaz,0400755,freedomacademyaz
https://www.facebook.com/friendlyhouseaz/,0400102,friendlyhouseaz
https://www.facebook.com/ggprepacademy,0400876,ggprepacademy
https://www.facebook.com/gila-bend-unified-school-district24-192635644132031/,0403310,gila-bend-unified-school-district24-192635644132031
https://www.facebook.com/gesd40/,0403420,gesd40
https://www.facebook.com/glendalepreparatory/,0400760,glendalepreparatory
https://www.facebook.com/guhsdaz/,0403450,guhsdaz
https://www.facebook.com/globeunifiedschooldistrict/?hc_ref=arqsnvl3olyymrdibhykpy2-zlbbe_25ui-z248kricqvwwupdhwuk85d--jwc3zfmu,0403500,globeunifiedschooldistrict
https://www.facebook.com/griffinfoundationschooldistrict,0400343,griffinfoundationschooldistrict
https://www.facebook.com/happyvalleyeast/,0400864,happyvalleyeast
https://www.facebook.com/haydenlobos/,0403730,haydenlobos
https://www.facebook.com/mogollon.mustangs,0400026,mogollon.mustangs
https://www.facebook.com/heritageacademyaz/,0400926,heritageacademyaz
https://www.facebook.com/hesglendale/,0400649,hesglendale
https://www.facebook.com/heswilliams/,0400649,heswilliams
http://www.facebook.com/higleyunifiedschooldistrict,0403780,higleyunifiedschooldistrict
https://www.facebook.com/hirsch-academy-cfa-1525863827511940/?ref=br_rs,0400893,hirsch-academy-cfa-1525863827511940
https://www.facebook.com/holbrookusd3/,0403820,holbrookusd3
https://www.facebook.com/horizonhonors,0400225,horizonhonors
https://www.facebook.com/officialhumboldtunified/,0403870,officialhumboldtunified
https://www.facebook.com/imagineavondale/,0400780,imagineavondale
https://www.facebook.com/imagineathletics/,0400780,imagineathletics
https://www.facebook.com/imagineelementarycoolidgeaz,0400766,imagineelementarycoolidgeaz
https://www.facebook.com/imagine.eastmesa,0400442,imagine.eastmesa
https://www.facebook.com/imaginecharters/,0400442,imaginecharters
https://www.facebook.com/imagine-prep-coolidge-1449566925270183/,0400769,imagine-prep-coolidge-1449566925270183
https://www.facebook.com/imagineprep/,0400783,imagineprep
https://www.facebook.com/imaginesurprise/,0400770,imaginesurprise
https://www.facebook.com/incitoschools,0400885,incitoschools
https://www.facebook.com/changemakerhighschool/,0400872,changemakerhighschool
https://www.facebook.com/isaacschooldistrict,0403960,isaacschooldistrict
https://www.facebook.com/jocombsusd,0403990,jocombsusd
https://www.facebook.com/madisonpreparizona/,0400231,madisonpreparizona
https://www.facebook.com/colegiopetite/,0400952,colegiopetite
//facebook.com/gilbertartsacademy,0400799,gilbertartsacademy
https://www.facebook.com/havasuprepacademy/,0400852,havasuprepacademy
https://www.facebook.com/skyviewbuckeye/,0400388,skyviewbuckeye
https://www.facebook.com/southpointeele/,0400221,southpointeele
//www.facebook.com/spjhs,0400227,spjhs
